BE/eV,InPET_C1s
280.450817131996,100.1001
280.400817131996,131.3814
280.350817131996,101.1428
280.300817131996,100.1001
280.250817131996,114.698
280.200817131996,124.0824
280.150817131996,111.5699
280.100817131996,136.5949
280.050817131996,112.6126
280.000817131996,111.5699
279.950817131996,120.9543
279.900817131996,114.698
279.850817131996,109.4845
279.800817131996,111.5699
279.750817131996,114.698
279.700817131996,121.997
279.650817131996,99.0574
279.600817131996,132.4241
279.550817131996,106.3564
279.500817131996,109.4845
279.450817131996,103.2282
279.400817131996,103.2282
279.350817131996,100.1001
279.300817131996,117.8262
