KE/eV,PE: 600 eV
574,2.77893198889594
576,3.12406298751686
578,9.11322196358536
580,6.44776197423601
582,1.23630199505998
584,.929676196285197
586,1.07838899569097
588,1.15465899538621
590,1.09685599561718
592,1.84614099262318
594,1.26581899494204
596,.756902296975568
598,.215736899137958
600,.030873639876635
602,0
604,1.53861899385198E-02
606,.031105649875708
